us,flow,size
1746368432603554,2,512
1746368432605881,1,1024
1746368432607628,2,512
1746368432608647,2,512
1746368432610337,2,512
1746368432611191,1,1024
1746368432613248,2,512
1746368432614812,1,1024
1746368432616884,2,512
1746368432617981,2,512
1746368432619655,1,1024
1746368432621736,2,512
1746368432622802,2,512
1746368432624456,1,1024
1746368432626530,2,512
1746368432627559,2,512
1746368432629310,1,1024
1746368432631394,2,512
1746368432632420,2,512
1746368432633530,1,1024
1746368432635591,2,512
1746368432636629,2,512
1746368432638308,1,1024
1746368432640372,2,512
1746368432641453,2,512
1746368432642962,1,1024
1746368432644685,2,512
1746368432645720,2,512
1746368432647382,1,1024
1746368432649450,2,512
1746368432650493,2,512
1746368432652087,1,1024
1746368432654151,2,512
1746368432655188,2,512
1746368432656884,1,1024
1746368432658954,2,512
1746368432659997,2,512
1746368432661019,1,1024
1746368432663106,2,512
1746368432664764,2,512
1746368432665794,1,1024
1746368432667895,2,512
1746368432669580,2,512
1746368432670615,1,1024
1746368432672767,2,512
1746368432674355,2,512
1746368432675404,1,1024
1746368432677459,2,512
1746368432679225,1,1024
1746368432681286,2,512
1746368432682411,2,512
1746368432684048,1,1024
1746368432686107,2,512
1746368432687156,2,512
1746368432688180,1,1024
1746368432690258,2,512
1746368432691298,2,512
1746368432692953,1,1024
1746368432695016,2,512
1746368432696066,2,512
1746368432697727,1,1024
1746368432699790,2,512
1746368432700753,2,512
1746368432701801,1,1024
1746368432703926,2,512
1746368432704964,2,512
1746368432706557,1,1024
1746368432708506,2,512
1746368432709603,2,512
1746368432711247,1,1024
1746368432713306,2,512
1746368432714400,2,512
1746368432716067,1,1024
1746368432718145,2,512
1746368432719229,2,512
1746368432720232,1,1024
1746368432722311,2,512
1746368432723338,2,512
1746368432725010,1,1024
1746368432727126,2,512
1746368432728186,2,512
1746368432729221,1,1024
1746368432731045,2,512
1746368432732721,2,512
1746368432733778,1,1024
1746368432735462,2,512
1746368432737119,2,512
1746368432738803,1,1024
1746368432740563,2,512
1746368432741587,2,512
1746368432743298,1,1024
1746368432745392,2,512
1746368432747083,2,512
1746368432748106,1,1024
1746368432750169,2,512
1746368432751816,2,512
1746368432752911,1,1024
1746368432755039,2,512
1746368432756088,2,512
1746368432757117,1,1024
1746368432758941,2,512
1746368432761253,2,512
1746368432762284,1,1024
1746368432764363,2,512
1746368432765942,1,1024
1746368432768005,2,512
1746368432769057,2,512
1746368432770089,2,512
1746368432771128,1,1024
1746368432773177,2,512
1746368432774859,1,1024
1746368432776942,2,512
1746368432777961,2,512
1746368432778993,1,1024
1746368432781077,2,512
1746368432782103,2,512
1746368432783704,1,1024
1746368432785786,2,512
1746368432786837,2,512
1746368432788495,1,1024
1746368432790567,2,512
1746368432791589,2,512
1746368432793273,1,1024
1746368432795337,2,512
1746368432796397,2,512
1746368432797436,1,1024
1746368432799505,2,512
1746368432800381,2,512
1746368432802082,1,1024
1746368432804140,2,512
1746368432805179,2,512
1746368432806869,1,1024
1746368432808524,2,512
