us,flow,size
1746361376508154,2,512
1746361376508223,3,1024
1746361376508289,1,1024
1746361376508355,2,512
1746361376508422,3,1024
1746361376508488,1,1024
1746361376508551,2,512
1746361376508609,3,1024
1746361376508666,1,1024
1746361376508724,2,512
1746361376508782,3,1024
1746361376508839,1,1024
1746361376508898,2,512
1746361376508956,3,1024
1746361376509013,1,1024
1746361376509070,2,512
1746361376509131,3,1024
1746361376509189,1,1024
1746361376509247,2,512
1746361376509305,3,1024
1746361376509362,1,1024
1746361376509420,2,512
1746361376509477,3,1024
1746361376509534,1,1024
1746361376509591,2,512
1746361376509648,3,1024
1746361376509706,1,1024
1746361376509763,2,512
1746361376509821,3,1024
1746361376509877,1,1024
1746361376509936,2,512
1746361376510007,3,1024
1746361376510091,1,1024
1746361376510201,2,512
1746361376510340,3,1024
1746361376510432,1,1024
1746361376510519,2,512
